date,order_id,product,category,region,quantity,unit_price,total_amount
2024-09-27,ORD-001359,Smart Plug Set,Smart Home,East,2,29.99,59.98
2024-09-27,ORD-001360,Smart Ring,Wearables,West,1,199.99,199.99
2024-10-01,ORD-001361,Wireless Earbuds,Audio,North,2,79.99,159.98
2024-10-01,ORD-001362,Phone Case,Accessories,South,6,24.99,149.94
2024-10-02,ORD-001363,Smart Watch,Wearables,East,1,299.99,299.99
2024-10-02,ORD-001364,Smart Camera,Smart Home,West,2,129.99,259.98
2024-10-03,ORD-001365,Laptop,Electronics,North,1,999.99,999.99
2024-10-03,ORD-001366,Bluetooth Speaker,Audio,South,2,149.99,299.98
2024-10-04,ORD-001367,Fitness Tracker,Wearables,East,1,129.99,129.99
2024-10-04,ORD-001368,HDMI Cable,Accessories,West,8,15.99,127.92
2024-10-07,ORD-001369,Smart Lock,Smart Home,North,1,249.99,249.99
2024-10-07,ORD-001370,Wireless Mouse,Electronics,South,2,34.99,69.98
2024-10-08,ORD-001371,Noise Canceling Headphones,Audio,East,2,249.99,499.98
2024-10-08,ORD-001372,Smart Light Bulbs,Smart Home,West,10,14.99,149.90
2024-10-09,ORD-001373,Smart Ring,Wearables,North,1,199.99,199.99
2024-10-09,ORD-001374,USB-C Cable,Accessories,South,5,12.99,64.95
2024-10-10,ORD-001375,Monitor,Electronics,East,1,349.99,349.99
2024-10-10,ORD-001376,Portable Speaker,Audio,West,1,69.99,69.99
2024-10-11,ORD-001377,Smart Display,Smart Home,North,1,179.99,179.99
2024-10-11,ORD-001378,Smart Watch,Wearables,South,2,299.99,599.98
2024-10-14,ORD-001379,Laptop Stand,Accessories,East,3,45.99,137.97
2024-10-14,ORD-001380,Webcam,Electronics,West,2,79.99,159.98
2024-10-15,ORD-001381,Soundbar,Audio,North,1,199.99,199.99
2024-10-15,ORD-001382,Smart Thermostat,Smart Home,South,2,179.99,359.98
2024-10-16,ORD-001383,Smart Band,Wearables,East,2,59.99,119.98
2024-10-16,ORD-001384,Screen Protector,Accessories,West,12,9.99,119.88
2024-10-17,ORD-001385,Tablet,Electronics,North,1,449.99,449.99
2024-10-17,ORD-001386,Wireless Earbuds,Audio,South,2,79.99,159.98
2024-10-18,ORD-001387,Smart Sensor Kit,Smart Home,East,1,69.99,69.99
2024-10-18,ORD-001388,Fitness Tracker,Wearables,West,2,129.99,259.98
2024-10-21,ORD-001389,Car Charger,Accessories,North,4,19.99,79.96
2024-10-21,ORD-001390,Wireless Keyboard,Electronics,South,2,89.99,179.98
2024-10-22,ORD-001391,Bluetooth Headphones,Audio,East,1,149.99,149.99
2024-10-22,ORD-001392,Smart Plug Set,Smart Home,West,3,29.99,89.97
2024-10-23,ORD-001393,Smart Watch Band,Wearables,North,5,29.99,149.95
2024-10-23,ORD-001394,USB Hub,Accessories,South,2,39.99,79.98
2024-10-24,ORD-001395,Smart Doorbell,Smart Home,East,1,199.99,199.99
2024-10-24,ORD-001396,Laptop,Electronics,West,1,999.99,999.99
2024-10-25,ORD-001397,Power Bank,Accessories,North,4,49.99,199.96
2024-10-25,ORD-001398,Portable DAC,Audio,South,1,99.99,99.99
2024-10-28,ORD-001399,Smart Light Bulbs,Smart Home,East,8,14.99,119.92
2024-10-28,ORD-001400,Smart Ring,Wearables,West,2,199.99,399.98
2024-11-01,ORD-001401,Wireless Earbuds,Audio,North,3,79.99,239.97
2024-11-01,ORD-001402,Phone Case,Accessories,South,8,24.99,199.92
2024-11-04,ORD-001403,Smart Watch,Wearables,East,2,299.99,599.98
2024-11-04,ORD-001404,Smart Camera,Smart Home,West,1,129.99,129.99
2024-11-05,ORD-001405,Laptop,Electronics,North,2,999.99,1999.98
2024-11-05,ORD-001406,Bluetooth Speaker,Audio,South,1,149.99,149.99
2024-11-06,ORD-001407,Fitness Tracker,Wearables,East,2,129.99,259.98
2024-11-06,ORD-001408,HDMI Cable,Accessories,West,6,15.99,95.94
2024-11-07,ORD-001409,Smart Lock,Smart Home,North,1,249.99,249.99
2024-11-07,ORD-001410,Wireless Mouse,Electronics,South,3,34.99,104.97
2024-11-08,ORD-001411,Noise Canceling Headphones,Audio,East,1,249.99,249.99
2024-11-08,ORD-001412,Smart Plug Set,Smart Home,West,4,29.99,119.96
2024-11-11,ORD-001413,Smart Ring,Wearables,North,1,199.99,199.99
2024-11-11,ORD-001414,USB-C Cable,Accessories,South,10,12.99,129.90
2024-11-12,ORD-001415,Monitor,Electronics,East,2,349.99,699.98
2024-11-12,ORD-001416,Portable Speaker,Audio,West,2,69.99,139.98
2024-11-13,ORD-001417,Smart Display,Smart Home,North,2,179.99,359.98
2024-11-13,ORD-001418,Smart Watch,Wearables,South,1,299.99,299.99
2024-11-14,ORD-001419,Laptop Stand,Accessories,East,2,45.99,91.98
2024-11-14,ORD-001420,Webcam,Electronics,West,1,79.99,79.99
2024-11-15,ORD-001421,Soundbar,Audio,North,1,199.99,199.99
2024-11-15,ORD-001422,Smart Thermostat,Smart Home,South,1,179.99,179.99
2024-11-18,ORD-001423,Smart Band,Wearables,East,3,59.99,179.97
2024-11-18,ORD-001424,Screen Protector,Accessories,West,15,9.99,149.85
2024-11-19,ORD-001425,Tablet,Electronics,North,1,449.99,449.99
2024-11-19,ORD-001426,Wireless Earbuds,Audio,South,2,79.99,159.98
2024-11-20,ORD-001427,Smart Sensor Kit,Smart Home,East,2,69.99,139.98
2024-11-20,ORD-001428,Fitness Tracker,Wearables,West,1,129.99,129.99
2024-11-21,ORD-001429,Car Charger,Accessories,North,6,19.99,119.94
2024-11-21,ORD-001430,Wireless Keyboard,Electronics,South,1,89.99,89.99
2024-11-22,ORD-001431,Bluetooth Headphones,Audio,East,2,149.99,299.98
2024-11-22,ORD-001432,Smart Light Bulbs,Smart Home,West,8,14.99,119.92
2024-11-25,ORD-001433,Smart Watch Band,Wearables,North,4,29.99,119.96
2024-11-25,ORD-001434,USB Hub,Accessories,South,3,39.99,119.97
2024-11-26,ORD-001435,Smart Doorbell,Smart Home,East,2,199.99,399.98
2024-11-26,ORD-001436,Laptop,Electronics,West,1,999.99,999.99
2024-11-27,ORD-001437,Power Bank,Accessories,North,3,49.99,149.97
2024-11-27,ORD-001438,Portable DAC,Audio,South,1,99.99,99.99
2024-11-29,ORD-001439,Smart Plug Set,Smart Home,East,3,29.99,89.97
2024-11-29,ORD-001440,Smart Ring,Wearables,West,1,199.99,199.99
2024-12-02,ORD-001441,Wireless Earbuds,Audio,North,4,79.99,319.96
2024-12-02,ORD-001442,Phone Case,Accessories,South,10,24.99,249.90
2024-12-03,ORD-001443,Smart Watch,Wearables,East,2,299.99,599.98
2024-12-03,ORD-001444,Smart Camera,Smart Home,West,2,129.99,259.98
2024-12-04,ORD-001445,Laptop,Electronics,North,2,999.99,1999.98
2024-12-04,ORD-001446,Bluetooth Speaker,Audio,South,2,149.99,299.98
2024-12-05,ORD-001447,Fitness Tracker,Wearables,East,2,129.99,259.98
2024-12-05,ORD-001448,HDMI Cable,Accessories,West,10,15.99,159.90
2024-12-06,ORD-001449,Smart Lock,Smart Home,North,2,249.99,499.98
2024-12-06,ORD-001450,Wireless Mouse,Electronics,South,4,34.99,139.96
2024-12-09,ORD-001451,Noise Canceling Headphones,Audio,East,2,249.99,499.98
2024-12-09,ORD-001452,Smart Light Bulbs,Smart Home,West,12,14.99,179.88
2024-12-10,ORD-001453,Smart Ring,Wearables,North,2,199.99,399.98
2024-12-10,ORD-001454,USB-C Cable,Accessories,South,8,12.99,103.92
2024-12-11,ORD-001455,Monitor,Electronics,East,1,349.99,349.99
2024-12-11,ORD-001456,Portable Speaker,Audio,West,3,69.99,209.97
2024-12-12,ORD-001457,Smart Display,Smart Home,North,1,179.99,179.99
2024-12-12,ORD-001458,Smart Watch,Wearables,South,2,299.99,599.98
2024-12-13,ORD-001459,Laptop Stand,Accessories,East,4,45.99,183.96
2024-12-13,ORD-001460,Webcam,Electronics,West,2,79.99,159.98
2024-12-16,ORD-001461,Soundbar,Audio,North,2,199.99,399.98
2024-12-16,ORD-001462,Smart Thermostat,Smart Home,South,2,179.99,359.98
2024-12-17,ORD-001463,Smart Band,Wearables,East,4,59.99,239.96
2024-12-17,ORD-001464,Screen Protector,Accessories,West,20,9.99,199.80
2024-12-18,ORD-001465,Tablet,Electronics,North,2,449.99,899.98
2024-12-18,ORD-001466,Wireless Earbuds,Audio,South,3,79.99,239.97
2024-12-19,ORD-001467,Smart Sensor Kit,Smart Home,East,2,69.99,139.98
2024-12-19,ORD-001468,Fitness Tracker,Wearables,West,2,129.99,259.98
2024-12-20,ORD-001469,Car Charger,Accessories,North,8,19.99,159.92
2024-12-20,ORD-001470,Wireless Keyboard,Electronics,South,2,89.99,179.98
2024-12-23,ORD-001471,Bluetooth Headphones,Audio,East,2,149.99,299.98
2024-12-23,ORD-001472,Smart Plug Set,Smart Home,West,5,29.99,149.95
2024-12-24,ORD-001473,Smart Watch Band,Wearables,North,6,29.99,179.94
2024-12-24,ORD-001474,USB Hub,Accessories,South,4,39.99,159.96
2024-12-26,ORD-001475,Smart Doorbell,Smart Home,East,1,199.99,199.99
2024-12-26,ORD-001476,Laptop,Electronics,West,2,999.99,1999.98
2024-12-27,ORD-001477,Power Bank,Accessories,North,5,49.99,249.95
2024-12-27,ORD-001478,Portable DAC,Audio,South,2,99.99,199.98
2024-12-30,ORD-001479,Smart Light Bulbs,Smart Home,East,10,14.99,149.90
2024-12-30,ORD-001480,Smart Ring,Wearables,West,2,199.99,399.98
2024-12-31,ORD-001481,Smart Watch,Wearables,North,1,299.99,299.99
2024-12-31,ORD-001482,Wireless Earbuds,Audio,South,2,79.99,159.98
